batter,team,role,"Test 1, Innings 1","Test 1, Innings 2","Test 2, Innings 1","Test 2, Innings 2","Test 3, Innings 1","Test 3, Innings 2","Test 4, Innings 1","Test 4, Innings 2","Test 5, Innings 1","Test 5, Innings 2"
Curran,England,bowl,"Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 9, scored 4 runs from 15 balls including 1 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 8, scored 39 runs from 65 balls including 6 fours and 0 sixes.","Batting at number 8, scored 23 runs from 40 balls including 5 fours and 0 sixes."
Handscomb,Australia,batting,"Batting at number 5, scored 14 runs from 17 balls including 1 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 5, scored 36 runs from 86 balls including 5 fours and 0 sixes.","Batting at number 5, scored 12 runs from 42 balls including 0 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes."
Hazlewood,Australia,bowl,"Batting at number 10, scored 6 runs from 25 balls including 0 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 11, scored 3 runs from 7 balls including 0 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 10, scored 1 runs from 12 balls including 0 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes."
Khawaja,Australia,batsman,"Batting at number 3, scored 11 runs from 24 balls including 2 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 3, scored 53 runs from 112 balls including 8 fours and 0 sixes.","Batting at number 3, scored 20 runs from 49 balls including 3 fours and 0 sixes.","Batting at number 3, scored 50 runs from 123 balls including 8 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 3, scored 17 runs from 65 balls including 2 fours and 0 sixes.","Batting at number 3, scored 11 runs from 14 balls including 1 fours and 1 sixes.","Batting at number 3, scored 171 runs from 381 balls including 18 fours and 1 sixes.","Batting at number NA, scored NA including NA fours and NA sixes."
Lyon,Australia,bowl,"Batting at number 11, scored 9 runs from 22 balls including 1 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 10, scored 10 runs from 11 balls including 0 fours and 1 sixes.","Batting at number 6, scored 14 runs from 30 balls including 2 fours and 0 sixes.","Batting at number 10, scored 4 runs from 3 balls including 1 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 11, scored 0 runs from 10 balls including 0 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes."
Malan,England,bat,"Batting at number 5, scored 56 runs from 130 balls including 11 fours and 0 sixes.","Batting at number 5, scored 4 runs from 17 balls including 0 fours and 0 sixes.","Batting at number 5, scored 19 runs from 58 balls including 1 fours and 0 sixes.","Batting at number 5, scored 29 runs from 80 balls including 4 fours and 0 sixes.","Batting at number 5, scored 140 runs from 227 balls including 19 fours and 1 sixes.","Batting at number 5, scored 54 runs from 135 balls including 8 fours and 0 sixes.","Batting at number 5, scored 14 runs from 43 balls including 3 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 5, scored 62 runs from 180 balls including 6 fours and 0 sixes.","Batting at number 5, scored 5 runs from 27 balls including 0 fours and 0 sixes."
MMarsh,Australia,all rounder,"Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 6, scored 181 runs from 236 balls including 29 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 6, scored 9 runs from 18 balls including 1 fours and 0 sixes.","Batting at number 6, scored 29 runs from 166 balls including 3 fours and 0 sixes.","Batting at number 6, scored 101 runs from 141 balls including 15 fours and 2 sixes.","Batting at number NA, scored NA including NA fours and NA sixes."
Overton,England,bowl,"Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 9, scored 41 runs from 79 balls including 5 fours and 0 sixes.","Batting at number 9, scored 7 runs from 34 balls including 1 fours and 0 sixes.","Batting at number 9, scored 2 runs from 7 balls including 0 fours and 0 sixes.","Batting at number 9, scored 12 runs from 21 balls including 2 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes."
Paine,Australia,wicketkeeper,"Batting at number 7, scored 13 runs from 42 balls including 2 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 7, scored 57 runs from 102 balls including 6 fours and 1 sixes.","Batting at number 8, scored 11 runs from 27 balls including 0 fours and 0 sixes.","Batting at number 7, scored 49 runs from 85 balls including 6 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 7, scored 24 runs from 36 balls including 4 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 7, scored 38 runs from 52 balls including 2 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes."
Root,England,bat,"Batting at number 4, scored 15 runs from 50 balls including 1 fours and 0 sixes.","Batting at number 4, scored 51 runs from 104 balls including 5 fours and 0 sixes.","Batting at number 4, scored 9 runs from 10 balls including 1 fours and 0 sixes.","Batting at number 4, scored 67 runs from 123 balls including 9 fours and 0 sixes.","Batting at number 4, scored 20 runs from 23 balls including 4 fours and 0 sixes.","Batting at number 4, scored 14 runs from 20 balls including 3 fours and 0 sixes.","Batting at number 4, scored 61 runs from 133 balls including 7 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 4, scored 83 runs from 141 balls including 8 fours and 0 sixes.","Batting at number 4, scored 58 runs from 167 balls including 1 fours and 0 sixes."
SMarsh,Australia,bat,"Batting at number 6, scored 51 runs from 141 balls including 8 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 6, scored 126 runs from 231 balls including 15 fours and 1 sixes.","Batting at number 7, scored 19 runs from 60 balls including 2 fours and 0 sixes.","Batting at number 5, scored 28 runs from 75 balls including 4 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 5, scored 61 runs from 148 balls including 8 fours and 0 sixes.","Batting at number 5, scored 4 runs from 22 balls including 1 fours and 0 sixes.","Batting at number 5, scored 156 runs from 291 balls including 18 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes."
Smith,Australia,bat,"Batting at number 4, scored 141 runs from 326 balls including 14 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 4, scored 40 runs from 90 balls including 3 fours and 0 sixes.","Batting at number 4, scored 6 runs from 12 balls including 1 fours and 0 sixes.","Batting at number 4, scored 239 runs from 399 balls including 30 fours and 1 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 4, scored 76 runs from 156 balls including 8 fours and 0 sixes.","Batting at number 4, scored 102 runs from 275 balls including 6 fours and 0 sixes.","Batting at number 4, scored 83 runs from 158 balls including 5 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes."
Starc,Australia,bowl,"Batting at number 8, scored 6 runs from 5 balls including 0 fours and 1 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 8, scored 6 runs from 29 balls including 0 fours and 0 sixes.","Batting at number 9, scored 20 runs from 25 balls including 1 fours and 1 sixes.","Batting at number 8, scored 1 runs from 3 balls including 0 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 8, scored 11 runs from 10 balls including 0 fours and 1 sixes.","Batting at number NA, scored NA including NA fours and NA sixes."
Stoneman,England,bat,"Batting at number 2, scored 53 runs from 159 balls including 3 fours and 0 sixes.","Batting at number 2, scored 27 runs from 81 balls including 4 fours and 0 sixes.","Batting at number 2, scored 18 runs from 21 balls including 2 fours and 0 sixes.","Batting at number 2, scored 36 runs from 65 balls including 6 fours and 0 sixes.","Batting at number 2, scored 56 runs from 110 balls including 10 fours and 0 sixes.","Batting at number 2, scored 3 runs from 8 balls including 0 fours and 0 sixes.","Batting at number 2, scored 15 runs from 37 balls including 1 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 2, scored 24 runs from 24 balls including 4 fours and 0 sixes.","Batting at number 2, scored 0 runs from 9 balls including 0 fours and 0 sixes."
Vince,England,bat,"Batting at number 3, scored 83 runs from 170 balls including 12 fours and 0 sixes.","Batting at number 3, scored 2 runs from 6 balls including 0 fours and 0 sixes.","Batting at number 3, scored 2 runs from 10 balls including 0 fours and 0 sixes.","Batting at number 3, scored 15 runs from 39 balls including 1 fours and 0 sixes.","Batting at number 3, scored 25 runs from 63 balls including 4 fours and 0 sixes.","Batting at number 3, scored 55 runs from 95 balls including 12 fours and 0 sixes.","Batting at number 3, scored 17 runs from 37 balls including 3 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 3, scored 25 runs from 54 balls including 4 fours and 0 sixes.","Batting at number 3, scored 18 runs from 51 balls including 1 fours and 0 sixes."
Warner,Australia,bat,"Batting at number 2, scored 26 runs from 43 balls including 2 fours and 0 sixes.","Batting at number 2, scored 87 runs from 119 balls including 10 fours and 0 sixes.","Batting at number 2, scored 47 runs from 102 balls including 5 fours and 0 sixes.","Batting at number 2, scored 14 runs from 60 balls including 1 fours and 0 sixes.","Batting at number 2, scored 22 runs from 36 balls including 1 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number 2, scored 103 runs from 151 balls including 13 fours and 1 sixes.","Batting at number 2, scored 86 runs from 227 balls including 8 fours and 0 sixes.","Batting at number 2, scored 56 runs from 104 balls including 6 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes."
Woakes,England,all-rounder,"Batting at number 8, scored 0 runs from 4 balls including 0 fours and 0 sixes.","Batting at number 8, scored 17 runs from 57 balls including 2 fours and 0 sixes.","Batting at number 8, scored 36 runs from 62 balls including 4 fours and 0 sixes.","Batting at number 6, scored 5 runs from 10 balls including 0 fours and 0 sixes.","Batting at number 8, scored 8 runs from 12 balls including 2 fours and 0 sixes.","Batting at number 8, scored 22 runs from 48 balls including 3 fours and 0 sixes.","Batting at number 8, scored 26 runs from 62 balls including 3 fours and 0 sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes.","Batting at number NA, scored NA including NA fours and NA sixes."
